date,day_of_week,week_number,shift,production_line,product_type,machine_id,machine_status,skill_required,required_staff,production_units,order_backlog,priority_level,raw_material_availability,raw_material_cost_index,planned_downtime,absenteeism_rate,overtime_allowed,is_weekend,is_peak_day,weather_disruption,supplier_delay
2026-01-05,Monday,1,Morning,Line A,Standard Parts,M-A4,Running,Machine Operator,4,574,71,Medium,0.79,1.06,0,0.11,0,0,0,0,0
2026-01-05,Monday,1,Morning,Line A,Standard Parts,M-A4,Running,Quality Inspector,2,574,71,Medium,0.79,1.06,0,0.11,0,0,0,0,0
2026-01-05,Monday,1,Morning,Line A,Standard Parts,M-A4,Running,Maintenance Technician,2,574,71,Medium,0.79,1.06,0,0.11,0,0,0,0,0
2026-01-05,Monday,1,Morning,Line A,Standard Parts,M-A4,Running,Packaging Operator,3,574,71,Medium,0.79,1.06,0,0.11,0,0,0,0,0
2026-01-05,Monday,1,Morning,Line B,Custom Components,M-B4,Maintenance,Machine Operator,3,473,33,Medium,0.9,1.04,1,0.1,0,0,0,0,0
2026-01-05,Monday,1,Morning,Line B,Custom Components,M-B4,Maintenance,Quality Inspector,1,473,33,Medium,0.9,1.04,1,0.1,0,0,0,0,0
2026-01-05,Monday,1,Morning,Line B,Custom Components,M-B4,Maintenance,Maintenance Technician,3,473,33,Medium,0.9,1.04,1,0.1,0,0,0,0,0
2026-01-05,Monday,1,Morning,Line B,Custom Components,M-B4,Maintenance,Packaging Operator,2,473,33,Medium,0.9,1.04,1,0.1,0,0,0,0,0
2026-01-05,Monday,1,Morning,Line C,Packaged Goods,M-C2,Running,Machine Operator,3,441,34,Medium,0.63,0.96,0,0.11,0,0,0,0,1
2026-01-05,Monday,1,Morning,Line C,Packaged Goods,M-C2,Running,Quality Inspector,2,441,34,Medium,0.63,0.96,0,0.11,0,0,0,0,1
2026-01-05,Monday,1,Morning,Line C,Packaged Goods,M-C2,Running,Maintenance Technician,2,441,34,Medium,0.63,0.96,0,0.11,0,0,0,0,1
2026-01-05,Monday,1,Morning,Line C,Packaged Goods,M-C2,Running,Packaging Operator,2,441,34,Medium,0.63,0.96,0,0.11,0,0,0,0,1
2026-01-05,Monday,1,Afternoon,Line A,Standard Parts,M-A4,Running,Machine Operator,4,530,52,Medium,0.88,0.88,0,0.06,0,0,0,0,0
2026-01-05,Monday,1,Afternoon,Line A,Standard Parts,M-A4,Running,Quality Inspector,2,530,52,Medium,0.88,0.88,0,0.06,0,0,0,0,0
2026-01-05,Monday,1,Afternoon,Line A,Standard Parts,M-A4,Running,Maintenance Technician,2,530,52,Medium,0.88,0.88,0,0.06,0,0,0,0,0
2026-01-05,Monday,1,Afternoon,Line A,Standard Parts,M-A4,Running,Packaging Operator,3,530,52,Medium,0.88,0.88,0,0.06,0,0,0,0,0
2026-01-05,Monday,1,Afternoon,Line B,Packaged Goods,M-B1,Maintenance,Machine Operator,3,508,0,High,0.91,1.0,1,0.04,1,0,0,0,0
2026-01-05,Monday,1,Afternoon,Line B,Packaged Goods,M-B1,Maintenance,Quality Inspector,1,508,0,High,0.91,1.0,1,0.04,1,0,0,0,0
2026-01-05,Monday,1,Afternoon,Line B,Packaged Goods,M-B1,Maintenance,Maintenance Technician,3,508,0,High,0.91,1.0,1,0.04,1,0,0,0,0
2026-01-05,Monday,1,Afternoon,Line B,Packaged Goods,M-B1,Maintenance,Packaging Operator,2,508,0,High,0.91,1.0,1,0.04,1,0,0,0,0
2026-01-05,Monday,1,Afternoon,Line C,Packaged Goods,M-C2,Running,Machine Operator,4,538,49,Medium,0.71,1.04,0,0.08,0,0,0,0,0
2026-01-05,Monday,1,Afternoon,Line C,Packaged Goods,M-C2,Running,Quality Inspector,2,538,49,Medium,0.71,1.04,0,0.08,0,0,0,0,0
2026-01-05,Monday,1,Afternoon,Line C,Packaged Goods,M-C2,Running,Maintenance Technician,2,538,49,Medium,0.71,1.04,0,0.08,0,0,0,0,0
2026-01-05,Monday,1,Afternoon,Line C,Packaged Goods,M-C2,Running,Packaging Operator,3,538,49,Medium,0.71,1.04,0,0.08,0,0,0,0,0
2026-01-05,Monday,1,Night,Line A,Standard Parts,M-A1,Maintenance,Machine Operator,2,308,10,Medium,0.84,1.12,1,0.02,0,0,0,0,0
2026-01-05,Monday,1,Night,Line A,Standard Parts,M-A1,Maintenance,Quality Inspector,1,308,10,Medium,0.84,1.12,1,0.02,0,0,0,0,0
2026-01-05,Monday,1,Night,Line A,Standard Parts,M-A1,Maintenance,Maintenance Technician,2,308,10,Medium,0.84,1.12,1,0.02,0,0,0,0,0
2026-01-05,Monday,1,Night,Line A,Standard Parts,M-A1,Maintenance,Packaging Operator,1,308,10,Medium,0.84,1.12,1,0.02,0,0,0,0,0
2026-01-05,Monday,1,Night,Line B,Custom Components,M-B2,Running,Machine Operator,3,354,35,Medium,0.74,1.2,0,0.1,0,0,0,0,0
2026-01-05,Monday,1,Night,Line B,Custom Components,M-B2,Running,Quality Inspector,1,354,35,Medium,0.74,1.2,0,0.1,0,0,0,0,0
2026-01-05,Monday,1,Night,Line B,Custom Components,M-B2,Running,Maintenance Technician,1,354,35,Medium,0.74,1.2,0,0.1,0,0,0,0,0
2026-01-05,Monday,1,Night,Line B,Custom Components,M-B2,Running,Packaging Operator,2,354,35,Medium,0.74,1.2,0,0.1,0,0,0,0,0
2026-01-05,Monday,1,Night,Line C,Packaged Goods,M-C1,Down,Machine Operator,1,150,5,Medium,0.74,1.11,0,0.11,0,0,0,0,1
2026-01-05,Monday,1,Night,Line C,Packaged Goods,M-C1,Down,Quality Inspector,1,150,5,Medium,0.74,1.11,0,0.11,0,0,0,0,1
2026-01-05,Monday,1,Night,Line C,Packaged Goods,M-C1,Down,Maintenance Technician,2,150,5,Medium,0.74,1.11,0,0.11,0,0,0,0,1
2026-01-05,Monday,1,Night,Line C,Packaged Goods,M-C1,Down,Packaging Operator,1,150,5,Medium,0.74,1.11,0,0.11,0,0,0,0,1
2026-01-06,Tuesday,1,Morning,Line A,Custom Components,M-A1,Running,Machine Operator,3,518,47,Low,0.69,1.13,0,0.08,0,0,0,0,0
2026-01-06,Tuesday,1,Morning,Line A,Custom Components,M-A1,Running,Quality Inspector,2,518,47,Low,0.69,1.13,0,0.08,0,0,0,0,0
2026-01-06,Tuesday,1,Morning,Line A,Custom Components,M-A1,Running,Maintenance Technician,2,518,47,Low,0.69,1.13,0,0.08,0,0,0,0,0
2026-01-06,Tuesday,1,Morning,Line A,Custom Components,M-A1,Running,Packaging Operator,2,518,47,Low,0.69,1.13,0,0.08,0,0,0,0,0
2026-01-06,Tuesday,1,Morning,Line B,Custom Components,M-B1,Running,Machine Operator,4,579,48,Medium,0.97,1.08,0,0.09,0,0,0,0,0
